Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
~Red (Keg - 1/6 bbl),,,,,,"['~Red', '(Keg', '-', '1/6', 'bbl)']"
1 LT NOILLY PRATT SWEET,NOILLY PRATT,1L,,,,"['1', 'LT', 'NOILLY', 'PRATT', 'SWEET']"
1 LT ROCKTOWN ARKANSAS 80PF VODKA PET,ROCKTOWN ARKANSAS,1L,,VODKA,,"['1', 'LT', 'ROCKTOWN', 'ARKANSAS', '80PF', 'VODKA', 'PET']"
1 LT RUM CHATA CREAM LIQUEUR,RUM CHATA,1L,,LIQUEUR,,"['1', 'LT', 'RUM', 'CHATA', 'CREAM', 'LIQUEUR']"
1.0L  DEWARS WHITE LA,DEWARS,1L,,,,"['1.0L', 'DEWARS', 'WHITE', 'LA']"
1.0L  KETEL ONE VODKA,KETEL ONE,1L,,VODKA,,"['1.0L', 'KETEL', 'ONE', 'VODKA']"
1.0L BASIL HAYDENS B,BASIL HAYDEN,1L,,,,"['1.0L', 'BASIL', 'HAYDENS', 'B']"
1.0L CROWN ROYAL REGAL APPLE 70 BAR,CROWN ROYAL,1L,,,APPLE,"['1.0L', 'CROWN', 'ROYAL', 'REGAL', 'APPLE', '70', 'BAR']"
1.0L EVIAN MINERAL PLA STIC (33.8OZ),EVIAN  MINERAL,1L,,,,"['1.0L', 'EVIAN', 'MINERAL', 'PLA', 'STIC', '(33.8OZ)']"
1.75L  MR & MRS T BLOODY MARY,Mr & Mrs T,1.75L,,,Bloody Mary,"['1.75L', 'MR', '&', 'MRS', 'T', 'BLOODY', 'MARY']"
1.75L  MR & MRS T STRAWBERRY DAIQUIR,Mr & Mrs T,1.75L,,,Strawberry,"['1.75L', 'MR', '&', 'MRS', 'T', 'STRAWBERRY', 'DAIQUIR']"
1.75LT SEAGRAM V O (PET),SEAGRAM,1.75L,,,,"['1.75LT', 'SEAGRAM', 'V', 'O', '(PET)']"
1/2 BARRELS @ 30.00,,,,,,"['1/2', 'BARRELS', '@', '30.00']"
1/2 BREWLAB SURFACE TENSION LITE LAGER,BREWLAB  SURFACE TENTION,1/2 KEG,,LAGER,,"['1/2', 'BREWLAB', 'SURFACE', 'TENSION', 'LITE', 'LAGER']"
